Address,City,State,Zip,Latitude,Longitude
907 AKIN AVE,FORT COLLINS,CO,80521,40.5848,-105.092
900 AKIN AVE,FORT COLLINS,CO,80521,40.58539,-105.09171
904 AKIN AVE,FORT COLLINS,CO,80521,40.58539,-105.09173
908 AKIN AVE,FORT COLLINS,CO,80521,40.5854,-105.092
6871 MOUNT NIMBUS ST,WELLINGTON,CO,80549,40.68496,-105.00886
6869 MOUNT NIMBUS ST,WELLINGTON,CO,80549,40.68466,-105.00888
6857 MOUNT NIMBUS ST,WELLINGTON,CO,80549,40.68632,-105.00623
6835 MOUNT NIMBUS ST,WELLINGTON,CO,80549,40.6844,-105.00888
6601 VIBURNUM ST,WELLINGTON,CO,80549,40.68136,-105.00617
6697 VIBURNUM ST,WELLINGTON,CO,80549,40.68178,-105.00616
6675 VIBURNUM ST,WELLINGTON,CO,80549,40.68178,-105.00616
1608 E CTY RD 72,WELLINGTON,CO,80549,40.7694,-105.045
1601 E CTY RD 72,WELLINGTON,CO,80549,40.76932,-105.04685
3600 BOMAR AVE,LOVELAND,CO,80537,40.35505,-105.09656
2719 S CTY RD 13,LOVELAND,CO,80537,40.36197,-105.05941
5215 KEYSTONE CREEK CT,FORT COLLINS,CO,80528,40.5136,-105.032
5227 KEYSTONE CREEK CT,FORT COLLINS,CO,80528,40.5135,-105.032
3703 GREEN SPRING DR,FORT COLLINS,CO,80528,40.50391,-105.00894
3709 GREEN SPRING DR,FORT COLLINS,CO,80528,40.50385,-105.00874
3721 GREEN SPRING DR,FORT COLLINS,CO,80528,40.50347,-105.00805
3732 GREEN SPRING DR,FORT COLLINS,CO,80528,40.50345,-105.00803
5850 DRIPPING ROCK LN G201,FORT COLLINS,CO,80528,40.50596,-105.01818
3145 SHALLOW POND DR,FORT COLLINS,CO,80528,40.5056,-105.01878
3149 SHALLOW POND DR,FORT COLLINS,CO,80528,40.50558,-105.01801
2401 S COLLEGE AVE,FORT COLLINS,CO,80525,40.55583,-105.0779
2401 S COLLEGE AVE,FORT COLLINS,CO,80525,40.55583,-105.0779
3300 PEPPERWOOD LN,FORT COLLINS,CO,80525,40.54174,-105.05213
3306 CREEKSTONE DR,FORT COLLINS,CO,80525,40.54249,-105.03026
3912 SUNSTONE CT,FORT COLLINS,CO,80525,40.5335,-105.03394
4001 SUNSTONE DR,FORT COLLINS,CO,80525,40.53331,-105.0349
1018 MCHUGH ST,FORT COLLINS,CO,80524,40.57362,-105.05257
2310 E PROSPECT RD,FORT COLLINS,CO,80525,40.5682,-105.03526
4115 TROWBRIDGE DR,FORT COLLINS,CO,80526,40.5297,-105.119
3818 ENSENADA CT,FORT COLLINS,CO,80526,40.53446,-105.09077
3825 ENSENADA CT,FORT COLLINS,CO,80526,40.53442,-105.09078
2602 S TIMBERLINE RD,FORT COLLINS,CO,80525,40.55227,-105.03766
2745 MINNESOTA DR,FORT COLLINS,CO,80525,40.5503,-105.0329
2255 MIDPOINT DR,FORT COLLINS,CO,80525,40.5649,-105.03688
1501 ACADEMY CT #5,FORT COLLINS,CO,80524,40.56869,-105.04283
1501 ACADEMY CT #105,FORT COLLINS,CO,80524,40.56759,-105.04258
1501 ACADEMY CT,FORT COLLINS,CO,80524,40.5676,-105.04216
719 S LEMAY AVE,FORT COLLINS,CO,80524,40.57748,-105.05821
1281 E MAGNOLIA ST,FORT COLLINS,CO,80524,40.58262,-105.05596
1212 E VINE DR,FORT COLLINS,CO,80524,40.59656,-105.05576
614 E VINE DR,FORT COLLINS,CO,80524,40.59634,-105.06622
614 E VINE DR,FORT COLLINS,CO,80524,40.59668,-105.06684
614 E VINE DR,FORT COLLINS,CO,80524,40.59685,-105.0662
903 N COLLEGE AVE,FORT COLLINS,CO,80524,40.59897,-105.07743
216 HEMLOCK ST,FORT COLLINS,CO,80524,40.60125,-105.07917
401 HICKORY ST,FORT COLLINS,CO,80524,40.60353,-105.08401
1801 N COLLEGE AVE,FORT COLLINS,CO,80525,40.61126,-105.07711
1635 BLUE SPRUCE DR,FORT COLLINS,CO,80524,40.60985,-105.07337
1629 BLUE SPRUCE DR,FORT COLLINS,CO,80524,40.60972,-105.07325
1501/1525 BLUE SPRUCE DR,FORT COLLINS,CO,80524,40.60765,-105.07323
1301 BLUE SPRUCE DR,FORT COLLINS,CO,80524,40.60487,-105.07332
360 JEFFERSON ST,FORT COLLINS,CO,80524,40.58854,-105.07287
OLD TOWN SQUARE-EAST SIDE,FORT COLLINS,CO,80526,40.58763,-105.07507
OLD TOWN SQUARE-EAST SIDE,FORT COLLINS,CO,80526,40.58758,-105.07505
130 S MASON ST,FORT COLLINS,CO,80524,40.58616,-105.07868
212 W LAUREL ST,FORT COLLINS,CO,80521,40.57882,-105.0796
818 S COLLEGE AVE,FORT COLLINS,CO,80524,40.57587,-105.07615
2201 S COLLEGE AVE,FORT COLLINS,CO,80525,40.55913,-105.07937
2800 S COLLEGE AVE,FORT COLLINS,CO,80525,40.54857,-105.07639
2721 S COLLEGE AVE 1A & AB,FORT COLLINS,CO,80525,40.54968,-105.0777
2721 S COLLEGE AVE UNIT 2,FORT COLLINS,CO,80525,40.54954,-105.07776
2721 S COLLEGE AVE SUITE 4B,FORT COLLINS,CO,80525,40.54958,-105.07806
2721 S COLLEGE AVE SUITE 10,FORT COLLINS,CO,80525,40.54972,-105.07911
2721 S COLLEGE AVE #EE1,FORT COLLINS,CO,80525,40.54969,-105.07911
3400 S COLLEGE AVE,FORT COLLINS,CO,80525,40.54115,-105.07626
3700 S COLLEGE AVE,FORT COLLINS,CO,80525,40.53685,-105.07624
3700 S COLLEGE AVE,FORT COLLINS,CO,80525,40.53685,-105.07624
3710 S COLLEGE AVE,FORT COLLINS,CO,80525,40.53603,-105.076
3605 S COLLEGE AVE,FORT COLLINS,CO,80525,40.53769,-105.0783
101 W MONROE DR,FORT COLLINS,CO,80525,40.53956,-105.07786
2190 W DRAKE RD,FORT COLLINS,CO,80526,40.55319,-105.11809
2101 S TAFT HILL RD,FORT COLLINS,CO,80526,40.55964,-105.11652
2345 W PROSPECT RD,FORT COLLINS,CO,80521,40.56714,-105.12124
2404 CLEARVIEW AVE #1-8,FORT COLLINS,CO,80521,40.57216,-105.12071
2405/2413 CRABTREE DR #1-4,FORT COLLINS,CO,80521,40.57253,-105.12114
2120 ORCHARD PL,FORT COLLINS,CO,80521,40.57779,-105.11623
2155 W PLUM ST,FORT COLLINS,CO,80526,40.57629,-105.11661
2115 W PLUM ST,FORT COLLINS,CO,80526,40.57595,-105.11563
1405 W ELIZABETH ST,FORT COLLINS,CO,80526,40.57375,-105.10138
720 CITY PARK AVE,FORT COLLINS,CO,80521,40.57723,-105.09994
728 N HWY 287,FORT COLLINS,CO,80527,40.62539,-105.08945
1000 N US HWY 287,FORT COLLINS,CO,80524,40.62633,-105.09332
2124 W CTY RD 54G,FORT COLLINS,CO,80524,40.6263,-105.11536
3208 W CTY RD 54G,LAPORTE,CO,80535,40.62735,-105.13653
3312 W CTY RD 54G,LAPORTE,CO,80535,40.62757,-105.13773
1632 N OVERLAND TRAIL,FORT COLLINS,CO,80521,40.61123,-105.13174
4101 LAPORTE AVE,FORT COLLINS,CO,80521,40.5837,-105.14908
3156 RAMPART RD,FORT COLLINS,CO,80521,40.57691,-105.14963
3024 SUMAC ST,FORT COLLINS,CO,80526,40.56467,-105.1334
1734 AZALEA DR,FORT COLLINS,CO,80526,40.5651,-105.13245
620 MATHEWS ST OFFICE,FORT COLLINS,CO,80524,40.57901,-105.07307
620 MATHEWS ST OFFICE,FORT COLLINS,CO,80524,40.57901,-105.07306
360 JEFFERSON ST,FORT COLLINS,CO,80524,40.58855016,-105.0728549
1801 N COLLEGE AVE,FORT COLLINS,CO,80525,40.6112312,-105.0771915
2201 S COLLEGE AVE,FORT COLLINS,CO,80525,40.55909,-105.07935
2401 S COLLEGE AVE,FORT COLLINS,CO,80525,40.55588,-105.07799
451 BOARDWALK DR,FORT COLLINS,CO,80525,40.58413,-105.04243
451 BOARDWALK DR,FORT COLLINS,CO,80525,40.58413,-105.04243
